country,lfp_cat,kelp_area_km2,pct_area
ARG,None,130.82133664612698,0.7409593527400945
ARG,Least,0.5263453004306577,0.002981168692534047
ARG,Moderately,45.20901601851282,0.2560594785673714
AUS,None,7.2066384194098125,0.8582268944559592
AUS,Least,0.0654673651988916,0.007796402462975271
AUS,Less,0.1077397094517671,0.012830547457929749
AUS,Heavily,0.12944376730725282,0.015415248546892033
AUS,Most,0.887835631785609,0.10573090707624384
CAN,None,19.056960300565688,0.5684994239373503
CAN,Least,6.381306585537865,0.19036452092195463
CAN,Less,0.9068561369713367,0.027052960353123694
CAN,Moderately,2.490342901751424,0.07429088809143021
CAN,Heavily,1.6807498444050877,0.05013944003959121
CAN,Most,3.0052962994700088,0.08965276665654989
CHL,None,301.8622824094676,0.671417598530857
CHL,Least,144.8867453595479,0.32226454345926714
CHL,Less,0.0033164014044136272,7.376510403824872e-6
CHL,Moderately,2.770954339731986,0.006163299016926651
CHL,Most,0.06617169435091717,1.471824825452828e-4
FRA,None,2.4499768735532106,0.010539455551369412
FRA,Moderately,5.508758570088679e-4,2.3697903731014126e-6
FRA,Most,230.0071036350573,0.9894581746582575
GBR,None,527.4423430418128,0.9848349546780779
GBR,Most,8.121855341278382,0.015165045321921958
MEX,None,102.68474179820451,0.5624388967815058
MEX,Least,38.061270552472735,0.20847439108046228
MEX,Moderately,38.5572777941412,0.21119118971007647
MEX,Heavily,0.7676299957003725,0.004204567887667015
MEX,Most,2.4995642015253714,0.013690954540288451
NAM,None,0.016439867146774166,0.05797552625510494
NAM,Less,0.2671257718167287,0.9420244737448952
NZL,None,4.671432131681426,0.650945556055803
NZL,Least,0.07626326316467427,0.010626983513402867
NZL,Moderately,0.8372720449253817,0.1166705416006459
NZL,Most,1.5914117339131497,0.2217569188301483
PER,None,7.428942351884911,0.6109636426555275
PER,Least,4.343335861434019,0.35720028147813276
PER,Moderately,0.3871071137609738,0.03183607586633972
USA,None,346.6176853908933,0.6498928146783287
USA,Least,78.10045222772207,0.14643489027019563
USA,Less,50.07732272906306,0.09389276309788921
USA,Moderately,9.428516789325501,0.017678051561467203
USA,Heavily,12.5094548575078,0.023454674040272818
USA,Most,36.61249453716615,0.06864680635184632
ZAF,None,33.0578700106267,0.7357231945828197
ZAF,Less,3.591096210971372,0.07992205110434548
ZAF,Moderately,1.4463578487712945,0.032189581986555166
ZAF,Heavily,1.1970125802808995,0.02664024993857709
ZAF,Most,5.64014645445511,0.12552492238770258
